Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description,Supplier Postcode,Supplier type,Contract Number,Project code,Expenditure type,VAT Registration Number,Purchase Invoice Number
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,COOKE MJ,33071053,1555.17,NRENT,M21 0UF, , , , ,,MAN000028372
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,COOKE MJ,33071053,75.97,RAMW,M21 0UF, , , , ,,MAN000028372
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,COOKE MJ,33071053,2621.25,QUASPG,M21 0UF, , , , ,,MAN000028372
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,COOKE MJ,33071053,3474.12,SUPCEE,M21 0UF, , , , ,,MAN000028372
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,COOKE MJ,33071053,2101.56,SUPCER,M21 0UF, , , , ,,MAN000028372
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CORKLAND ROAD MEDICAL PRACTICE,33071055,49232,GSUMG,M21 8UP, , , , ,,MAN000028374
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CORKLAND ROAD MEDICAL PRACTICE,33071055,969.8,PARTIG,M21 8UP, , , , ,,MAN000028374
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CORKLAND ROAD MEDICAL PRACTICE,33071055,8709.17,NRENT,M21 8UP, , , , ,,MAN000028374
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,CORKLAND ROAD MEDICAL PRACTICE,33071055,5266.81,QUACHG,M21 8UP, , , , ,,MAN000028374
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CORKLAND ROAD MEDICAL PRACTICE,33071055,4995.58,QUASPG,M21 8UP, , , , ,,MAN000028374
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CORNBROOK MEDICAL PRACTICE,33071057,107767.94,GSUMG,M15 4EA, , , , ,,MAN000028376
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CORNBROOK MEDICAL PRACTICE,33071057,2102.26,PARTIG,M15 4EA, , , , ,,MAN000028376
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,CORNBROOK MEDICAL PRACTICE,33071057,27367.5,LOCADG,M15 4EA, , , , ,,MAN000028376
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,CORNBROOK MEDICAL PRACTICE,33071057,2916.67,RENT,M15 4EA, , , , ,,MAN000028376
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CORNBROOK MEDICAL PRACTICE,33071057,2195.83,NRENT,M15 4EA, , , , ,,MAN000028376
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CORNBROOK MEDICAL PRACTICE,33071057,5743.16,QUASPG,M15 4EA, , , , ,,MAN000028376
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CUNNINGHAM MB,33071059,66690.78,GSUMG,M13 9UJ, , , , ,,MAN000028378
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CUNNINGHAM MB,33071059,1329.4,PARTIG,M13 9UJ, , , , ,,MAN000028378
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CUNNINGHAM MB,33071059,3720.46,QUASPG,M13 9UJ, , , , ,,MAN000028378
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DIXON PA,33071062,-417.72,STATL,M8 9JT, , , , ,,MAN000028381
Department of Health,NHS Manchester CCG,31/07/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DIXON PA,33071062,-6104.11,PRYERG,M8 9JT, , , , ,,MAN000028381
Department of Health,NHS Manchester CCG,31/07/2020,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,DIXON PA,33071062,-240.97,URLS,M8 9JT, , , , ,,MAN000028381
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DIXON PA,33071062,-5644.77,SUPCEE,M8 9JT, , , , ,,MAN000028381
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DIXON PA,33071062,-6468.05,SUPCER,M8 9JT, , , , ,,MAN000028381
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DIXON PA,33071062,-6543.96,PRYEEG,M8 9JT, , , , ,,MAN000028381
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DIXON PA,33071063,81710.72,GSUMG,M8 9JT, , , , ,,MAN000028382
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DIXON PA,33071063,1617.92,PARTIG,M8 9JT, , , , ,,MAN000028382
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DIXON PA,33071063,2170.5,NRENT,M8 9JT, , , , ,,MAN000028382
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Other,PRC DELEGATED CO-COMMISSIONING,DIXON PA,33071063,245.83,PREMG,M8 9JT, , , , ,,MAN000028382
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DIXON PA,33071063,6856.46,QUASPG,M8 9JT, , , , ,,MAN000028382
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR C HARRISON,33071065,48553.43,GSUMG,M23 9JH, , , , ,,MAN000028384
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR C HARRISON,33071065,966.79,PARTIG,M23 9JH, , , , ,,MAN000028384
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR C HARRISON,33071065,3189.58,NRENT,M23 9JH, , , , ,,MAN000028384
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR C HARRISON,33071065,5011.99,QUASPG,M23 9JH, , , , ,,MAN000028384
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR M R GRIFFITHS,33071067,75590.68,GSUMG,M18 8LJ, , , , ,,MAN000028386
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR M R GRIFFITHS,33071067,1516.04,PARTIG,M18 8LJ, , , , ,,MAN000028386
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR M R GRIFFITHS,33071067,1833.33,NRENT,M18 8LJ, , , , ,,MAN000028386
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR M R GRIFFITHS,33071067,6324.9,QUASPG,M18 8LJ, , , , ,,MAN000028386
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DR MA FAT,33071069,280,LEARNG,M23 9RL, , , , ,,MAN000028388
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR MA FAT,33071069,24296.2,GSUMG,M23 9RL, , , , ,,MAN000028388
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR MA FAT,33071069,479.53,PARTIG,M23 9RL, , , , ,,MAN000028388
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR MA FAT,33071069,1750,NRENT,M23 9RL, , , , ,,MAN000028388
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR MA FAT,33071069,2325.85,QUASPG,M23 9RL, , , , ,,MAN000028388
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR S RIZVI,33071070,55128.77,GSUMG,M21 8HA, , , , ,,MAN000028390
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR S RIZVI,33071070,695.02,PARTIG,M21 8HA, , , , ,,MAN000028390
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DR S RIZVI,33071070,875,RENT,M21 8HA, , , , ,,MAN000028390
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR S RIZVI,33071070,2791.67,NRENT,M21 8HA, , , , ,,MAN000028390
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR S RIZVI,33071070,4998.57,QUASPG,M21 8HA, , , , ,,MAN000028390
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR S RIZVI,33071070,1299.8,PENEEG,M21 8HA, , , , ,,MAN000028390
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR S RIZVI,33071070,2095.82,PENERG,M21 8HA, , , , ,,MAN000028390
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DREPAUL BA,33071072,87591.4,GSUMG,M22 9UH, , , , ,,MAN000028392
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DREPAUL BA,33071072,1727.55,PARTIG,M22 9UH, , , , ,,MAN000028392
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DREPAUL BA,33071072,8184.63,QUASPG,M22 9UH, , , , ,,MAN000028392
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ENOCH LC,33071074,79360.19,ZPMSUP,M14 5BY, , , , ,,MAN000028394
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ENOCH LC,33071074,1311.37,PARTIP,M14 5BY, , , , ,,MAN000028394
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ENOCH LC,33071074,4650,NRENT,M14 5BY, , , , ,,MAN000028394
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ENOCH LC,33071074,4722.71,QUASPP,M14 5BY, , , , ,,MAN000028394
Department of Health,NHS Manchester CCG,31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,ENOCH LC,33071074,7960.7,PRYERP,M14 5BY, , , , ,,MAN000028394
Department of Health,NHS Manchester CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ENOCH LC,33071074,1797.51,PENERP,M14 5BY, , , , ,,MAN000028394
Department of Health,NHS Manchester CCG,31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,ENOCH LC,33071074,5149,PRYEEP,M14 5BY, , , , ,,MAN000028394
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,ESMAIL AO,33071075,-8878.5,ZOOHP,M14 5NP, , , , ,,MAN000028395
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,ESMAIL AO,33071075,-80.61,VOLL,M14 5NP, , , , ,,MAN000028395
Department of Health,NHS Manchester CCG,31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,ESMAIL AO,33071075,-9091.85,PRYERP,M14 5NP, , , , ,,MAN000028395
Department of Health,NHS Manchester CCG,31/07/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,ESMAIL AO,33071075,-61.2,URLS,M14 5NP, , , , ,,MAN000028395
Department of Health,NHS Manchester CCG,31/07/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ESMAIL AO,33071075,-909.75,PENEEP,M14 5NP, , , , ,,MAN000028395
Department of Health,NHS Manchester CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,ESMAIL AO,33071075,-9813.46,SUPCEE,M14 5NP, , , , ,,MAN000028395
Department of Health,NHS Manchester CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ESMAIL AO,33071075,-13357.7,"SUPCER,PENERP",M14 5NP, , , , ,,MAN000028395
Department of Health,NHS Manchester CCG,31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,ESMAIL AO,33071075,-4687.65,PRYEEP,M14 5NP, , , , ,,MAN000028395
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ESMAIL AO,33071076,190835.75,ZPMSUP,M14 5NP, , , , ,,MAN000028396
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ESMAIL AO,33071076,4229.29,EXTHDP,M14 5NP, , , , ,,MAN000028396
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,ESMAIL AO,33071076,2105.89,CLINDP,M14 5NP, , , , ,,MAN000028396
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ESMAIL AO,33071076,3484.04,PARTIP,M14 5NP, , , , ,,MAN000028396
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,ESMAIL AO,33071076,61979.36,HEALTH,M14 5NP, , , , ,,MAN000028396
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ESMAIL AO,33071076,9887.55,QUASPP,M14 5NP, , , , ,,MAN000028396
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,F BERESFORD,33071078,65082.54,GSUMG,M18 7BQ, , , , ,,MAN000028398
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,F BERESFORD,33071078,1277.84,PARTIG,M18 7BQ, , , , ,,MAN000028398
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,F BERESFORD,33071078,3593.75,NRENT,M18 7BQ, , , , ,,MAN000028398
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,F BERESFORD,33071078,142.15,RAMW,M18 7BQ, , , , ,,MAN000028398
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,F BERESFORD,33071078,5560.75,QUASPG,M18 7BQ, , , , ,,MAN000028398
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,G ASKEW,33071081,56484.45,GSUMG,M19 2AF, , , , ,,MAN000028402
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,G ASKEW,33071081,1111.65,PARTIG,M19 2AF, , , , ,,MAN000028402
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,G ASKEW,33071081,4701,CQCRG,M19 2AF, , , , ,,MAN000028402
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,G ASKEW,33071081,3791.67,NRENT,M19 2AF, , , , ,,MAN000028402
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,G ASKEW,33071081,5090.96,QUASPG,M19 2AF, , , , ,,MAN000028402
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,HARRIS PL,33071083,2380,LEARNG,M12 5LH, , , , ,,MAN000028404
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HARRIS PL,33071083,67204.18,GSUMG,M12 5LH, , , , ,,MAN000028404
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HARRIS PL,33071083,1337.93,PARTIG,M12 5LH, , , , ,,MAN000028404
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Clinical Waste,PRC DELEGATED CO-COMMISSIONING,HARRIS PL,33071083,48,WASTE,M12 5LH, , , , ,,MAN000028404
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HARRIS PL,33071083,6091.74,QUASPG,M12 5LH, , , , ,,MAN000028404
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HARGREAVES,33071085,104034.67,GSUMG,M9 8PP, , , , ,,MAN000028406
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HARGREAVES,33071085,2057.5,PARTIG,M9 8PP, , , , ,,MAN000028406
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Other,PRC DELEGATED CO-COMMISSIONING,HARGREAVES,33071085,622.92,PREMG,M9 8PP, , , , ,,MAN000028406
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,HARGREAVES,33071085,11490.3,QUACHG,M9 8PP, , , , ,,MAN000028406
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HARGREAVES,33071085,11563.43,QUASPG,M9 8PP, , , , ,,MAN000028406
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,HARGREAVES,33071085,539.25,PENERG,M9 8PP, , , , ,,MAN000028406
Department of Health,NHS Manchester CCG,31/07/2020,C&M-APMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,HAWTHORN MEDICAL CENTRE,33071086,-40718.02,ACHIEA,M14 6FS, , , , ,,MAN000028407
Department of Health,NHS Manchester CCG,31/07/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,HAWTHORN MEDICAL CENTRE,33071086,-134.36,URLS,M14 6FS, , , , ,,MAN000028407
Department of Health,NHS Manchester CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,HAWTHORN MEDICAL CENTRE,33071086,-2879.52,SUPCEE,M14 6FS, , , , ,,MAN000028407
Department of Health,NHS Manchester CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,HAWTHORN MEDICAL CENTRE,33071086,-3808.54,SUPCER,M14 6FS, , , , ,,MAN000028407
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,I BUCHALTER,33071088,59908.59,GSUMG,M22 0EP, , , , ,,MAN000028410
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,I BUCHALTER,33071088,1175.4,PARTIG,M22 0EP, , , , ,,MAN000028410
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,I BUCHALTER,33071088,4263,CQCRG,M22 0EP, , , , ,,MAN000028410
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,I BUCHALTER,33071088,3704.17,NRENT,M22 0EP, , , , ,,MAN000028410
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,I BUCHALTER,33071088,11726.5,RANDR,M22 0EP, , , , ,,MAN000028410
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,I BUCHALTER,33071088,7313.56,QUASPG,M22 0EP, , , , ,,MAN000028410
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,JOLLY SS,33071090,38580.42,GSUMG,M8 9NT, , , , ,,MAN000028412
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,JOLLY SS,33071090,849.8,PARTIG,M8 9NT, , , , ,,MAN000028412
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,JOLLY SS,33071090,1750,RENT,M8 9NT, , , , ,,MAN000028412
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,JOLLY SS,33071090,3580.61,QUASPG,M8 9NT, , , , ,,MAN000028412
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,K VICKERS,33071092,67089.8,GSUMG,M40 7QH, , , , ,,MAN000028414
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,K VICKERS,33071092,1300.85,PARTIG,M40 7QH, , , , ,,MAN000028414
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,K VICKERS,33071092,5761.1,QUASPG,M40 7QH, , , , ,,MAN000028414
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,JOBLING B,33071094,3489.79,EXTHDG,M22 4DH, , , , ,,MAN000028416
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,JOBLING B,33071094,85527.79,GSUMG,M22 4DH, , , , ,,MAN000028416
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,JOBLING B,33071094,1737.67,CLINDG,M22 4DH, , , , ,,MAN000028416
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,JOBLING B,33071094,1665.57,PARTIG,M22 4DH, , , , ,,MAN000028416
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,JOBLING B,33071094,5175,LOCSIG,M22 4DH, , , , ,,MAN000028416
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,JOBLING B,33071094,1891.67,NRENT,M22 4DH, , , , ,,MAN000028416
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,JOBLING B,33071094,8780.9,QUASPG,M22 4DH, , , , ,,MAN000028416
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,KWOK S,33071095,-651.6,STATL,M20 2RN, , , , ,,MAN000028417
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,KWOK S,33071095,-37343.65,QUACHG,M20 2RN, , , , ,,MAN000028417
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,KWOK S,33071095,-53.76,VOLL,M20 2RN, , , , ,,MAN000028417
Department of Health,NHS Manchester CCG,31/07/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,KWOK S,33071095,-2788.32,PRYERG,M20 2RN, , , , ,,MAN000028417
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,KWOK S,33071095,-7894.46,SUPCEE,M20 2RN, , , , ,,MAN000028417
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,KWOK S,33071095,-676.23,PENEEG,M20 2RN, , , , ,,MAN000028417
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,KWOK S,33071095,-10407.96,"SUPCER,PENERG",M20 2RN, , , , ,,MAN000028417
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,KWOK S,33071095,-1803.28,PRYEEG,M20 2RN, , , , ,,MAN000028417
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,KWOK S,33071096,5266.16,EXTHDG,M20 2RN, , , , ,,MAN000028418
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,KWOK S,33071096,116836.35,GSUMG,M20 2RN, , , , ,,MAN000028418
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,KWOK S,33071096,2622.18,CLINDG,M20 2RN, , , , ,,MAN000028418
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,KWOK S,33071096,2296.5,PARTIG,M20 2RN, , , , ,,MAN000028418
